playerId,In,Ex
1183,76,1
1185,75,1
1186,76,1
1187,75,3
1188,76,1
1189,76,1
1190,75,1
1191,76,1
1192,49,1
1194,55,6
1195,55,4
1196,55,7
1197,55,8
1198,55,1
1199,55,7
1200,58,1
1201,55,10
1202,58,4
1203,56,3
1204,55,10
1205,58,3
1206,56,3
1207,58,1
1208,58,2
1209,58,1
1210,58,1
1211,58,2
1212,56,1
1213,56,1
1214,58,1
1215,58,2
1216,55,4
1217,55,7
1218,59,1
1219,59,2
1220,58,1
1221,58,1
1222,55,5
1223,59,2
1224,55,10
1225,59,1
1226,59,4
1227,59,4
1228,58,1
1229,58,2
1230,58,1
1231,58,1
1232,58,5
1233,56,9
1234,56,1
1235,55,9
1236,55,7
1237,58,1
1238,58,2
1239,55,8
1240,58,2
1241,55,8
1242,23,3
1243,30,9
1244,55,1
1245,41,3
1247,55,10
1248,58,2
1249,55,10
1250,58,3
1251,56,2
1255,59,3
1256,55,7
1257,55,7
1258,55,1
1259,55,4
1260,58,2
1261,55,6
1262,58,1
1263,55,1
1264,55,2
1265,56,1
1266,55,5
1267,56,1
1268,55,1
1269,55,1
1270,55,8
1271,55,2
1272,40,3
1273,37,5
1274,40,3
1275,55,5
1276,55,1
1277,55,1
1278,55,1
1279,55,3
1280,55,1
1281,59,1
1282,55,7
1283,55,3
1285,40,8
1286,37,7
1287,40,7
1288,40,7
1289,40,7
1290,55,6
1291,55,3
1292,58,4
1293,55,7
1294,58,3
1295,58,2
1296,58,2
1297,58,3
1298,58,3
1299,58,3
1300,55,4
1301,55,4
1302,55,9
1303,55,9
1304,55,7
1305,55,9
1306,55,9
1307,55,8
1308,59,4
1309,55,8
1310,55,8
1311,55,3
1312,55,2
1313,55,3
1314,59,1
1315,55,9
1316,59,1
1317,55,4
1318,55,8
1319,55,8
1320,55,1
1321,55,4
1322,55,8
1323,60,1
1324,55,9
1325,55,8
1326,55,6
1327,58,1
1328,58,2
1329,55,9
1330,60,2
1331,55,1
1332,55,10
1333,58,4
1334,58,1
1335,56,1
1336,56,1
1337,55,7
1338,55,1
1339,55,2
1340,55,3
1341,55,3
1342,55,4
1343,55,2
1344,55,2
1345,75,1
1346,75,1
1347,21,1
1348,21,1
1349,75,1
1350,76,1
1351,76,1
1352,76,1
1353,76,1
1354,76,1
1355,76,1
1356,75,3
1357,75,4
1358,23,3
1359,19,4
1360,31,3
1361,75,1
1362,30,8
1363,30,1
1364,30,9
1365,31,1
1366,31,1
1367,31,3
1368,31,3
1369,31,3
1370,30,6
1371,23,5
1372,19,3
1373,31,2
1374,31,2
1375,30,5
1376,31,2
1377,23,10
1378,28,1
1379,31,2
1380,31,1
1381,30,1
1382,21,3
1383,31,1
1384,30,10
1385,31,3
1387,28,10
1388,19,9
1389,20,9
1390,23,9
1391,24,9
1392,31,1
1393,31,1
1395,30,1
1396,31,2
1397,19,5
1398,30,11
1399,31,1
1400,31,1
1401,31,3
1402,29,10
1403,19,6
1404,23,5
1405,31,2
1406,28,10
1407,19,11
1408,23,10
1409,19,8
1410,23,8
1411,70,7
1412,23,7
1413,19,8
1414,22,8
1415,20,6
1416,23,8
1417,19,6
1418,30,9
1419,30,8
1420,30,9
1421,30,9
1422,30,1
1423,30,5
1424,31,1
1425,31,1
1426,31,1
1427,31,1
1428,31,1
1429,31,1
1430,28,2
1431,31,1
1432,31,1
1433,31,1
1435,31,1
1438,30,11
1439,32,9
1440,32,9
1441,32,9
1442,62,2
1443,62,4
1444,57,3
1445,19,6
1446,23,4
1447,30,1
1448,28,9
1449,30,9
1450,28,6
1451,19,3
1452,23,4
1453,19,9
1454,23,9
1455,22,2
1456,23,1
1457,19,1
1458,23,1
1459,19,11
1460,23,11
1461,19,9
1462,23,9
1463,22,8
1464,23,7
1465,19,8
1466,23,7
1467,19,9
1468,23,8
1469,19,8
1470,30,10
1471,19,11
1472,23,9
1473,19,8
1474,31,2
1475,28,9
1476,28,8
1477,19,8
1478,23,6
1479,28,10
1480,30,9
1481,22,10
1482,30,7
1483,23,9
1484,19,8
1485,19,10
1486,23,10
1487,31,1
1488,31,1
1489,31,1
1490,31,1
1491,31,1
1492,31,1
1493,31,1
1494,31,1
1495,30,10
1496,20,10
1497,23,10
1498,29,9
1499,19,9
1500,23,5
1501,20,9
1502,29,9
1503,19,9
1504,23,6
1505,31,1
1506,31,2
1507,29,9
1508,19,5
1509,23,3
1510,31,1
1511,28,10
1512,19,9
1513,23,8
1514,20,8
1515,24,10
1516,30,9
1517,30,8
1518,31,1
1519,31,1
1520,23,5
1521,19,1
1522,19,1
1523,21,10
1524,29,9
1525,30,4
1526,28,1
1527,19,9
1528,30,7
1529,19,1
1530,30,8
1531,28,9
1532,29,1
1533,28,1
1534,28,9
1535,23,9
1536,19,2
1537,23,8
1538,19,9
1539,30,9
1540,20,10
1541,29,9
1542,20,8
1543,24,3
1544,29,8
1545,20,7
1546,24,3
1547,25,6
1548,29,10
1549,20,10
1550,24,3
1551,31,1
1552,31,1
1553,31,1
1554,31,1
1555,28,10
1556,20,10
1557,24,10
1558,31,1
1559,31,1
1560,23,8
1561,31,1
1562,31,2
1563,30,9
1564,19,10
1565,23,9
1566,31,1
1567,31,2
1568,28,9
1569,19,10
1570,23,9
1571,23,9
